ServiceNo,Operator,Direction,StopSequence,BusStopCode,Distance,SAT_LastBus,RoadName,Latitude,Longitude,Description,StopIndex
179A,SBST,1,1,22009,0,-,Jurong West Ctrl 3,1.33932334709184,103.70545701843297,Boon Lay Int,0
179A,SBST,1,8,27281,3.3,-,Lien Ying Chow Dr,1.34565500002282,103.68780555602468,Hall 1,1
179A,SBST,1,9,27291,3.6,-,Lien Ying Chow Dr,1.34772267411254,103.68649929145208,Opp Hall 6,2
179A,SBST,1,10,27311,3.8,-,Lien Ying Chow Dr,1.34902211051484,103.68539285058924,Hall 2,3
179A,SBST,1,11,27061,4.1,-,Nanyang Dr,1.34984722128218,103.68387082088056,Opp Blk 41,4
179A,SBST,1,12,27211,4.5,-,Nanyang Dr,1.34793140650697,103.68050066497821,Lee Wee Nam Lib,5
179A,SBST,1,13,27221,4.9,-,Nanyang Dr,1.34623151653928,103.67851763727317,Sch Of CEE,6
179A,SBST,1,14,27231,5.4,-,Nanyang Dr,1.34207972361937,103.67922271593845,Sch Of Comm And Info,7
179A,SBST,1,15,27241,5.9,-,Nanyang Dr,1.33998726585628,103.68089382456998,Hall 7,8
179A,SBST,1,16,27251,6.3,-,Nanyang Dr,1.34228305598254,103.68371694398068,Innovation Ctr,9
179A,SBST,1,17,27261,6.7,-,Nanyang Dr,1.34383372710626,103.6868651241412,Hall 4,10
179A,SBST,1,24,22009,9.8,-,Jurong West Ctrl 3,1.33932334709184,103.70545701843297,Boon Lay Int,11
